gen,id,enemies,best_fit,mean_fit,std_fit
25,si0,41,39.26990021702643,17.61051672671692,11.949720555066994
25,si1,34,87.55499468596398,20.97332077835397,20.02734136422538
25,si2,14,39.26990021702643,14.326642379214293,13.105306134300754
25,si3,14,39.26990021702643,20.776676719319994,12.718582548041761
26,si0,41,39.26990021702643,13.695054451566923,12.89642113685781
26,si1,34,87.55499468596398,19.79332238927155,20.251800307163485
26,si2,14,39.26990021702643,15.021043067647026,13.283198765234069
26,si3,14,39.26990021702643,20.5000767447729,12.488882305163989
27,si0,41,39.26990021702643,18.690740251134827,12.34556170755974
27,si1,34,87.55499468596398,16.943670897327397,17.184446814245334
27,si2,14,39.26990021702643,14.25179250636408,11.3274249714253
27,si3,14,55.81083226157968,15.414774697384978,15.931524318257981
28,si0,41,39.26990021702643,17.554917404692606,9.59946207253824
28,si1,34,87.55499468596398,19.07076681471962,16.230394234676623
28,si2,14,39.26990021702643,17.958560899464164,9.516044776039433
28,si3,14,55.81083226157968,14.955170810652822,14.900543906131862
29,si0,41,39.26990021702643,19.413377945375753,9.198892662321667
29,si1,34,87.55499468596398,19.764406301355233,16.46978878022787
29,si2,14,39.26990021702643,14.73906806772094,10.694033061581484
29,si3,14,55.81083226157968,19.704083647867364,12.23674520676978
30,si0,41,39.26990021702643,19.458313078238355,8.053055148228175
30,si1,34,87.55499468596398,21.98290120609248,16.44588835732518
30,si2,14,39.26990021702643,17.67266843154462,10.740034266635606
30,si3,14,55.81083226157968,22.9217987881002,12.008622178671242
31,si0,41,39.26990021702643,19.80077093399586,7.931003578359269
31,si1,34,87.55499468596398,24.924075413583772,18.980863249118944
31,si2,14,39.26990021702643,17.96961692206584,11.61587391748175
31,si3,14,55.81083226157968,21.730735219872145,13.359209064743752
32,si0,41,39.26990021702643,20.858008980346803,7.438039743232242
32,si1,34,87.55499468596398,24.87517917278482,18.721202002052525
32,si2,14,39.26990021702643,15.387089422146605,11.74508503139834
32,si3,14,55.81083226157968,16.402604853971397,12.072778110458545
33,si0,41,39.26990021702643,21.487175014040325,10.604126298051712
33,si1,34,87.55499468596398,20.23761156651039,17.03631167978475
33,si2,14,39.26990021702643,18.013540056681407,12.186044202251702
33,si3,14,55.81083226157968,16.44847597187559,12.375958123985631
34,si0,41,75.25060701409174,17.58935993565081,15.55142861396094
34,si1,34,87.55499468596398,19.231835769439893,18.330800480157933
34,si2,14,39.26990021702643,19.065990005291507,10.612241911399819
34,si3,14,55.81083226157968,19.632680493927634,10.577025483189576
35,si0,41,75.25060701409174,20.10641507098764,14.98327543410338
35,si1,34,87.55499468596398,24.64042429362285,15.157184740543459
35,si2,14,55.81083226157968,16.490538059671294,13.351299199207277
35,si3,14,55.81083226157968,17.180863570483275,12.584498181312858
36,si0,41,75.25060701409174,19.787032308895135,13.429348496181044
36,si1,34,87.55499468596398,22.803827407609027,15.78548942845514
36,si2,14,55.81083226157968,13.972018077519605,13.297800744524594
36,si3,14,55.81083226157968,18.983929807582076,11.838167275008358
37,si0,41,75.25060701409174,17.571198077458515,15.69516214560491
37,si1,34,87.55499468596398,21.695804966261203,18.674841881200397
37,si2,14,55.81083226157968,18.991754123205794,12.388749551527267
37,si3,14,55.81083226157968,17.886619990721165,11.208560959844048
38,si0,41,75.25060701409174,16.809908074375816,15.99845879507727
38,si1,34,87.55499468596398,17.00647872372416,17.668397624410115
38,si2,14,55.81083226157968,18.26450418788517,10.87886962839441
38,si3,14,55.81083226157968,18.200604270289915,11.159014601877978
39,si0,41,75.25060701409174,14.597985722696066,16.788633405690636
39,si1,34,87.55499468596398,23.181681838799093,19.42392842525643
39,si2,14,55.81083226157968,14.314549127619085,13.391533456384114
39,si3,14,55.81083226157968,20.458418604696774,9.626006439054303
40,si0,41,75.25060701409174,19.771762470011403,14.118966682948637
40,si1,34,87.55499468596398,21.945265651158515,18.069375479335434
40,si2,14,55.81083226157968,20.76867353285724,10.110972187064577
